univ_name,year,median_oa_perc
Universidade Federal de Goiás,2013-01-01,0.08403954802259886
Universidade Federal de Goiás,2014-01-01,0.10526315789473684
Universidade Federal de Goiás,2015-01-01,0.1111111111111111
Universidade Federal de Goiás,2016-01-01,0.14285714285714285
Universidade Federal de Goiás,2017-01-01,0.1935483870967742
"Universidade Federal de
Itajubá",2007-01-01,0
"Universidade Federal de
Itajubá",2008-01-01,0
"Universidade Federal de
Itajubá",2009-01-01,0.023255813953488372
"Universidade Federal de
Itajubá",2010-01-01,0
"Universidade Federal de
Itajubá",2011-01-01,0.0339080459770115
"Universidade Federal de
Itajubá",2012-01-01,0
"Universidade Federal de
Itajubá",2013-01-01,0.04257246376811594
"Universidade Federal de
Itajubá",2014-01-01,0.038461538461538464
"Universidade Federal de
Itajubá",2015-01-01,0.07692307692307693
"Universidade Federal de
Itajubá",2016-01-01,0.05555555555555555
"Universidade Federal de
Itajubá",2017-01-01,0.1
"Universidade Federal de Ouro
Preto",2007-01-01,0.02
"Universidade Federal de Ouro
Preto",2008-01-01,0.047619047619047616
"Universidade Federal de Ouro
Preto",2009-01-01,0.07692307692307693
"Universidade Federal de Ouro
Preto",2010-01-01,0.07207792207792207
"Universidade Federal de Ouro
Preto",2011-01-01,0.08108108108108109
"Universidade Federal de Ouro
Preto",2012-01-01,0.07142857142857142
"Universidade Federal de Ouro
Preto",2013-01-01,0.07142857142857142
"Universidade Federal de Ouro
Preto",2014-01-01,0.12121212121212122
"Universidade Federal de Ouro
Preto",2015-01-01,0.08603145235892692
"Universidade Federal de Ouro
Preto",2016-01-01,0.1111111111111111
"Universidade Federal de Ouro
Preto",2017-01-01,0.14285714285714285
"Universidade Federal de Santa
Catarina",2007-01-01,0
"Universidade Federal de Santa
Catarina",2008-01-01,0
"Universidade Federal de Santa
Catarina",2009-01-01,0
"Universidade Federal de Santa
Catarina",2010-01-01,0.024096385542168676
"Universidade Federal de Santa
Catarina",2011-01-01,0.045454545454545456
"Universidade Federal de Santa
Catarina",2012-01-01,0.05555555555555555
"Universidade Federal de Santa
Catarina",2013-01-01,0.0625
"Universidade Federal de Santa
Catarina",2014-01-01,0.07142857142857142
"Universidade Federal de Santa
Catarina",2015-01-01,0.08054054054054055
"Universidade Federal de Santa
Catarina",2016-01-01,0.10526315789473684
"Universidade Federal de Santa
Catarina",2017-01-01,0.14285714285714285
